Date,Value,Anomaly
191710,50.41,-3.80
191711,43.54,1.51
191712,29.64,-3.35
191801,23.86,-6.71
191802,33.82,-0.20
191803,45.75,3.87
191804,49.03,-2.22
191805,60.80,0.44
191806,71.15,2.42
191807,72.45,-1.37
191808,72.50,0.20
191809,61.92,-3.19
191810,56.17,1.96
191811,40.51,-1.52
191812,34.45,1.46
191901,31.82,1.25
191902,32.25,-1.77
191903,40.89,-0.99
191904,51.35,0.10
191905,60.03,-0.33
191906,69.30,0.57
191907,74.35,0.53
191908,72.27,-0.03
191909,65.64,0.53
191910,52.59,-1.62
191911,39.31,-2.72
191912,28.78,-4.21
192001,29.23,-1.34
192002,33.69,-0.33
192003,40.28,-1.60
192004,46.78,-4.47
192005,59.31,-1.05
192006,67.37,-1.36
192007,72.70,-1.12
192008,70.63,-1.67
192009,65.44,0.33
192010,54.63,0.42
192011,39.70,-2.33
192012,33.13,0.14
192101,34.36,3.79
192102,36.90,2.88
192103,46.63,4.75
192104,51.01,-0.24
192105,60.10,-0.26
192106,70.36,1.63
192107,74.66,0.84
192108,72.03,-0.27
192109,66.54,1.43
192110,55.35,1.14
192111,42.58,0.55
192112,35.08,2.09
192201,26.80,-3.77
192202,31.95,-2.07
192203,40.42,-1.46
192204,50.31,-0.94
192205,61.18,0.82
192206,70.14,1.41
192207,73.00,-0.82
192208,72.81,0.51
192209,67.28,2.17
192210,55.02,0.81
192211,41.86,-0.17
192212,33.55,0.56
192301,34.59,4.02
192302,29.57,-4.45
192303,38.30,-3.58
192304,49.91,-1.34
192305,59.52,-0.84
192306,68.04,-0.69
192307,73.76,-0.06
192308,71.11,-1.19
192309,65.07,-0.04
192310,51.24,-2.97
192311,42.58,0.55
192312,35.98,2.99
192401,26.26,-4.31
192402,35.19,1.17
192403,37.18,-4.70
192404,50.27,-0.98
192405,57.90,-2.46
192406,68.59,-0.14
192407,71.89,-1.93
192408,72.07,-0.23
192409,62.74,-2.37
192410,54.97,0.76
192411,42.40,0.37
192412,27.59,-5.40
192501,29.08,-1.49
192502,38.30,4.28
192503,44.24,2.36
192504,54.72,3.47
192505,60.01,-0.35
192506,69.84,1.11
192507,74.14,0.32
192508,71.40,-0.90
192509,66.67,1.56
192510,48.92,-5.29
192511,40.41,-1.62
192512,32.50,-0.49
192601,30.31,-0.26
192602,37.67,3.65
192603,39.65,-2.23
192604,50.04,-1.21
192605,61.02,0.66
192606,68.20,-0.53
192607,73.36,-0.46
192608,72.34,0.04
192609,64.11,-1.00
192610,54.95,0.74
192611,40.46,-1.57
192612,31.33,-1.66
192701,31.55,0.98
192702,37.90,3.88
192703,42.26,0.38
192704,51.58,0.33
192705,59.76,-0.60
192706,67.21,-1.52
192707,72.68,-1.14
192708,69.37,-2.93
192709,64.98,-0.13
192710,55.90,1.69
192711,44.35,2.32
192712,28.22,-4.77
192801,31.98,1.41
192802,34.34,0.32
192803,43.12,1.24
192804,48.06,-3.19
192805,61.52,1.16
192806,65.91,-2.82
192807,73.40,-0.42
192808,71.82,-0.48
192809,63.27,-1.84
192810,55.08,0.87
192811,41.58,-0.45
192812,32.94,-0.05
192901,26.31,-4.26
192902,26.92,-7.10
192903,43.56,1.68
192904,51.17,-0.08
192905,58.86,-1.50
192906,67.50,-1.23
192907,73.60,-0.22
192908,72.63,0.33
192909,63.41,-1.70
192910,53.92,-0.29
192911,38.41,-3.62
192912,33.96,0.97
193001,23.54,-7.03
193002,40.10,6.08
193003,40.41,-1.47
193004,54.41,3.16
193005,59.23,-1.13
193006,68.41,-0.32
193007,75.04,1.22
193008,72.90,0.60
193009,65.75,0.64
193010,51.69,-2.52
193011,41.09,-0.94
193012,31.17,-1.82
193101,32.99,2.42
193102,37.94,3.92
193103,39.42,-2.46
193104,51.06,-0.19
193105,59.43,-0.93
193106,70.70,1.97
193107,75.81,1.99
193108,71.96,-0.34
193109,68.13,3.02
193110,56.57,2.36
193111,43.38,1.35
193112,35.06,2.07
193201,31.55,0.98
193202,36.70,2.68
193203,37.36,-4.52
193204,51.60,0.35
193205,60.51,0.15
193206,69.24,0.51
193207,74.10,0.28
193208,72.57,0.27
193209,64.69,-0.42
193210,52.32,-1.89
193211,40.75,-1.28
193212,29.41,-3.58
193301,34.30,3.73
193302,29.59,-4.43
193303,41.83,-0.05
193304,49.84,-1.41
193305,59.83,-0.53
193306,71.56,2.83
193307,75.13,1.31
193308,71.92,-0.38
193309,67.73,2.62
193310,55.20,0.99
193311,42.53,0.50
193312,36.43,3.44
193401,35.08,4.51
193402,34.32,0.30
193403,42.78,0.90
193404,53.74,2.49
193405,64.71,4.35
193406,70.68,1.95
193407,76.37,2.55
193408,73.53,1.23
193409,63.84,-1.27
193410,56.52,2.31
193411,45.01,2.98
193412,32.67,-0.32
193501,31.51,0.94
193502,36.01,1.99
193503,43.61,1.73
193504,49.71,-1.54
193505,57.33,-3.03
193506,67.64,-1.09
193507,75.13,1.31
193508,72.99,0.69
193509,64.80,-0.31
193510,53.80,-0.41
193511,39.49,-2.54
193512,30.74,-2.25
193601,27.36,-3.21
193602,25.23,-8.79
193603,43.43,1.55
193604,50.22,-1.03
193605,63.46,3.10
193606,70.61,1.88
193607,76.80,2.98
193608,74.59,2.29
193609,66.36,1.25
193610,53.49,-0.72
193611,39.81,-2.22
193612,34.47,1.48
193701,24.84,-5.73
193702,31.73,-2.29
193703,38.84,-3.04
193704,50.11,-1.14
193705,61.93,1.57
193706,68.79,0.06
193707,74.59,0.77
193708,74.66,2.36
193709,65.70,0.59
193710,53.89,-0.32
193711,40.82,-1.21
193712,32.70,-0.29
193801,32.14,1.57
193802,36.00,1.98
193803,45.01,3.13
193804,51.73,0.48
193805,59.85,-0.51
193806,68.77,0.04
193807,73.78,-0.04
193808,73.72,1.42
193809,66.63,1.52
193810,56.41,2.20
193811,39.94,-2.09
193812,34.21,1.22
193901,33.91,3.34
193902,29.98,-4.04
193903,42.51,0.63
193904,51.53,0.28
193905,62.71,2.35
193906,68.86,0.13
193907,74.88,1.06
193908,72.64,0.34
193909,67.37,2.26
193910,54.72,0.51
193911,42.30,0.27
193912,37.72,4.73
194001,23.83,-6.74
194002,33.85,-0.17
194003,41.52,-0.36
194004,50.23,-1.02
194005,60.85,0.49
194006,69.60,0.87
194007,74.14,0.32
194008,72.14,-0.16
194009,65.35,0.24
194010,56.08,1.87
194011,39.00,-3.03
194012,36.05,3.06
194101,32.20,1.63
194102,33.53,-0.49
194103,39.20,-2.68
194104,52.02,0.77
194105,62.33,1.97
194106,67.80,-0.93
194107,73.98,0.16
194108,72.07,-0.23
194109,64.53,-0.58
194110,55.20,0.99
194111,42.91,0.88
194112,36.12,3.13
194201,29.84,-0.73
194202,30.74,-3.28
194203,41.31,-0.57
194204,53.06,1.81
194205,59.09,-1.27
194206,67.91,-0.82
194207,73.96,0.14
194208,71.78,-0.52
194209,63.66,-1.45
194210,54.57,0.36
194211,43.16,1.13
194212,32.97,-0.02
194301,29.41,-1.16
194302,36.28,2.26
194303,38.50,-3.38
194304,52.88,1.63
194305,59.72,-0.64
194306,68.77,0.04
194307,74.26,0.44
194308,73.45,1.15
194309,64.33,-0.78
194310,53.69,-0.52
194311,40.91,-1.12
194312,32.59,-0.40
194401,32.02,1.45
194402,34.50,0.48
194403,38.50,-3.38
194404,48.97,-2.28
194405,62.02,1.66
194406,68.36,-0.37
194407,72.79,-1.03
194408,72.10,-0.20
194409,65.26,0.15
194410,55.27,1.06
194411,41.50,-0.53
194412,30.67,-2.32
194501,30.49,-0.08
194502,35.28,1.26
194503,45.54,3.66
194504,50.22,-1.03
194505,58.28,-2.08
194506,65.88,-2.85
194507,72.93,-0.89
194508,72.16,-0.14
194509,64.99,-0.12
194510,54.14,-0.07
194511,42.01,-0.02
194512,29.08,-3.91
194601,31.39,0.82
194602,34.88,0.86
194603,46.78,4.90
194604,54.61,3.36
194605,58.75,-1.61
194606,68.32,-0.41
194607,73.85,0.03
194608,71.17,-1.13
194609,64.54,-0.57
194610,53.15,-1.06
194611,41.74,-0.29
194612,36.18,3.19
194701,31.78,1.21
194702,31.41,-2.61
194703,38.75,-3.13
194704,50.95,-0.30
194705,60.13,-0.23
194706,66.72,-2.01
194707,72.81,-1.01
194708,74.08,1.78
194709,66.54,1.43
194710,58.80,4.59
194711,38.10,-3.93
194712,32.92,-0.07
194801,27.88,-2.69
194802,31.62,-2.40
194803,38.71,-3.17
194804,53.35,2.10
194805,60.24,-0.12
194806,68.76,0.03
194807,73.26,-0.56
194808,72.05,-0.25
194809,66.07,0.96
194810,53.19,-1.02
194811,41.59,-0.44
194812,32.58,-0.41
194901,25.92,-4.65
194902,31.91,-2.11
194903,40.77,-1.11
194904,52.07,0.82
194905,61.72,1.36
194906,69.24,0.51
194907,74.21,0.39
194908,72.10,-0.20
194909,63.73,-1.38
194910,54.05,-0.16
194911,45.27,3.24
194912,33.26,0.27
195001,30.43,-0.14
195002,35.55,1.53
195003,38.84,-3.04
195004,48.65,-2.60
195005,59.45,-0.91
195006,67.93,-0.80
195007,71.22,-2.60
195008,70.02,-2.28
195009,63.50,-1.61
195010,57.47,3.26
195011,40.64,-1.39
