Date,Value,Anomaly
199405,60.67,0.31
199406,70.95,2.22
199407,73.62,-0.20
199408,72.21,-0.09
199409,65.55,0.44
199410,54.21,0.00
199411,42.57,0.54
199412,36.23,3.24
199501,33.08,2.51
199502,37.36,3.34
199503,43.34,1.46
199504,49.41,-1.84
199505,58.64,-1.72
199506,67.55,-1.18
199507,73.54,-0.28
199508,74.32,2.02
199509,64.69,-0.42
199510,54.45,0.24
199511,42.04,0.01
199512,33.42,0.43
199601,29.70,-0.87
199602,35.69,1.67
199603,39.02,-2.86
199604,50.65,-0.60
199605,60.98,0.62
199606,69.87,1.14
199607,73.63,-0.19
199608,72.43,0.13
199609,63.46,-1.65
199610,53.65,-0.56
199611,39.63,-2.40
199612,33.91,0.92
199701,29.95,-0.62
199702,36.05,2.03
199703,44.67,2.79
199704,47.91,-3.34
199705,59.40,-0.96
199706,68.31,-0.42
199707,73.18,-0.64
199708,71.74,-0.56
199709,66.42,1.31
199710,53.92,-0.29
199711,40.87,-1.16
199712,34.00,1.01
199801,34.99,4.42
199802,38.71,4.69
199803,41.34,-0.54
199804,51.06,-0.19
199805,62.47,2.11
199806,68.13,-0.60
199807,75.49,1.67
199808,74.03,1.73
199809,68.99,3.88
199810,55.13,0.92
199811,44.91,2.88
199812,35.55,2.56
199901,33.78,3.21
199902,39.49,5.47
199903,42.80,0.92
199904,51.55,0.30
199905,60.06,-0.30
199906,68.31,-0.42
199907,74.30,0.48
199908,72.91,0.61
199909,64.35,-0.76
199910,54.75,0.54
199911,48.11,6.08
199912,36.10,3.11
200001,33.57,3.00
200002,39.78,5.76
200003,46.04,4.16
200004,52.59,1.34
200005,63.14,2.78
200006,69.03,0.30
200007,73.87,0.05
200008,74.05,1.75
200009,65.57,0.46
200010,55.09,0.88
200011,38.03,-4.00
200012,28.44,-4.55
200101,31.35,0.78
200102,33.98,-0.04
200103,41.49,-0.39
200104,53.08,1.83
200105,62.82,2.46
200106,69.24,0.51
200107,74.48,0.66
200108,74.30,2.00
200109,65.70,0.59
200110,54.37,0.16
200111,47.41,5.38
200112,36.12,3.13
200201,34.48,3.91
200202,36.39,2.37
200203,39.54,-2.34
200204,53.49,2.24
200205,59.29,-1.07
200206,70.86,2.13
200207,75.85,2.03
200208,72.86,0.56
200209,66.85,1.74
200210,51.84,-2.37
200211,41.97,-0.06
200212,35.08,2.09
200301,32.81,2.24
200302,32.79,-1.23
200303,43.30,1.42
200304,51.89,0.64
200305,60.98,0.62
200306,68.05,-0.68
200307,75.47,1.65
200308,74.66,2.36
200309,64.96,-0.15
200310,56.55,2.34
200311,42.35,0.32
200312,35.29,2.30
200401,30.34,-0.23
200402,33.57,-0.45
200403,47.41,5.53
200404,52.68,1.43
200405,61.92,1.56
200406,68.09,-0.64
200407,72.90,-0.92
200408,70.16,-2.14
200409,65.66,0.55
200410,55.36,1.15
200411,43.99,1.96
200412,35.06,2.07
200501,33.39,2.82
200502,37.94,3.92
200503,42.31,0.43
200504,52.27,1.02
200505,59.56,-0.80
200506,69.21,0.48
200507,75.31,1.49
200508,73.20,0.90
200509,67.37,2.26
200510,55.38,1.17
200511,45.01,2.98
200512,32.70,-0.29
200601,38.93,8.36
200602,34.83,0.81
200603,42.62,0.74
200604,55.26,4.01
200605,62.28,1.92
200606,70.75,2.02
200607,76.41,2.59
200608,73.40,1.10
200609,63.30,-1.81
200610,52.59,-1.62
200611,44.08,2.05
200612,36.57,3.58
200701,31.35,0.78
200702,32.41,-1.61
200703,47.66,5.78
200704,50.54,-0.71
200705,62.33,1.97
200706,69.87,1.14
200707,74.70,0.88
200708,74.64,2.34
200709,66.43,1.32
200710,56.68,2.47
200711,44.01,1.98
200712,33.22,0.23
200801,30.27,-0.30
200802,34.70,0.68
200803,41.86,-0.02
200804,50.40,-0.85
200805,59.36,-1.00
200806,69.60,0.87
200807,74.08,0.26
200808,72.28,-0.02
200809,65.21,0.10
200810,53.98,-0.23
200811,43.92,1.89
200812,31.87,-1.12
200901,31.05,0.48
200902,36.77,2.75
200903,42.87,0.99
200904,50.92,-0.33
200905,61.65,1.29
200906,68.54,-0.19
200907,72.63,-1.19
200908,71.89,-0.41
200909,66.38,1.27
200910,50.50,-3.71
200911,45.84,3.81
200912,29.64,-3.35
201001,30.67,0.10
201002,31.80,-2.22
201003,43.57,1.69
201004,53.24,1.99
201005,59.88,-0.48
201006,70.48,1.75
201007,74.71,0.89
201008,74.05,1.75
201009,66.49,1.38
201010,56.14,1.93
201011,42.31,0.28
201012,32.47,-0.52
201101,29.71,-0.86
201102,33.04,-0.98
201103,43.07,1.19
201104,51.96,0.71
201105,59.13,-1.23
201106,69.82,1.09
201107,76.14,2.32
201108,75.00,2.70
201109,66.09,0.98
201110,55.09,0.88
201111,43.75,1.72
201112,35.40,2.41
201201,36.12,5.55
201202,37.51,3.49
201203,50.41,8.53
201204,54.68,3.43
201205,63.45,3.09
201206,70.54,1.81
201207,76.77,2.95
201208,73.80,1.50
201209,66.31,1.20
201210,53.89,-0.32
201211,44.01,1.98
201212,35.92,2.93
201301,32.25,1.68
201302,34.77,0.75
201303,40.91,-0.97
201304,49.68,-1.57
201305,60.85,0.49
201306,70.39,1.66
201307,74.21,0.39
201308,72.99,0.69
201309,66.96,1.85
201310,53.44,-0.77
201311,41.61,-0.42
201312,31.06,-1.93
201401,30.56,-0.01
201402,32.13,-1.89
201403,40.51,-1.37
201404,51.69,0.44
201405,61.27,0.91
201406,69.58,0.85
201407,73.29,-0.53
201408,72.25,-0.05
201409,66.20,1.09
201410,56.93,2.72
201411,39.25,-2.78
201412,36.81,3.82
201501,33.08,2.51
201502,32.99,-1.03
201503,45.39,3.51
201504,53.24,1.99
201505,60.84,0.48
201506,71.37,2.64
201507,73.92,0.10
201508,72.95,0.65
201509,68.54,3.43
201510,57.24,3.03
201511,44.60,2.57
201512,38.66,5.67
201601,32.22,1.65
201602,39.47,5.45
201603,47.50,5.62
201604,53.19,1.94
201605,60.33,-0.03
201606,71.76,3.03
201607,75.22,1.40
201608,73.53,1.23
201609,67.12,2.01
201610,57.72,3.51
201611,47.97,5.94
201612,32.95,-0.04
201701,33.57,3.00
201702,41.18,7.16
201703,46.15,4.27
201704,53.80,2.55
201705,60.57,0.21
201706,70.36,1.63
201707,75.70,1.88
201708,72.01,-0.29
201709,66.27,1.16
201710,55.69,1.48
201711,45.03,3.00
201712,34.29,1.30
201801,32.16,1.59
201802,35.51,1.49
201803,42.73,0.85
201804,49.03,-2.22
201805,65.52,5.16
201806,71.55,2.82
201807,75.45,1.63
201808,73.51,1.21
201809,67.53,2.42
201810,53.71,-0.50
201811,40.01,-2.02
201812,35.51,2.52
201901,32.56,1.99
201902,31.84,-2.18
201903,40.28,-1.60
201904,52.84,1.59
201905,59.49,-0.87
201906,68.72,-0.01
201907,74.62,0.80
201908,73.74,1.44
201909,68.43,3.32
201910,52.05,-2.16
201911,41.11,-0.92
201912,36.43,3.44
202001,35.55,4.98
202002,36.18,2.16
202003,46.08,4.20
202004,50.86,-0.39
202005,60.91,0.55
202006,70.29,1.56
202007,75.65,1.83
202008,74.70,2.40
202009,65.93,0.82
202010,54.30,0.09
202011,46.33,4.30
202012,35.73,2.74
202101,34.59,4.02
