DATE,MRTSSM7225USN
2008-03-01,33274
2008-04-01,32299
2008-05-01,34833
2008-06-01,33284
2008-07-01,34081
2008-08-01,34746
2008-09-01,31019
2008-10-01,32543
2008-11-01,31117
2008-12-01,32664
2009-01-01,31486
2009-02-01,30307
2009-03-01,33287
2009-04-01,32410
2009-05-01,34642
2009-06-01,33019
2009-07-01,33932
2009-08-01,33681
2009-09-01,30801
2009-10-01,32351
2009-11-01,30383
2009-12-01,32427
2010-01-01,30952
2010-02-01,30536
2010-03-01,34162
2010-04-01,33799
2010-05-01,35152
2010-06-01,34109
2010-07-01,35598
2010-08-01,34878
2010-09-01,32260
2010-10-01,34116
2010-11-01,32037
2010-12-01,34357
2011-01-01,32237
2011-02-01,32452
2011-03-01,36502
2011-04-01,35950
2011-05-01,37165
2011-06-01,36409
2011-07-01,37789
2011-08-01,36986
2011-09-01,35130
2011-10-01,36144
2011-11-01,34057
2011-12-01,37307
2012-01-01,34564
2012-02-01,35522
2012-03-01,39577
2012-04-01,37641
2012-05-01,39103
2012-06-01,38903
2012-07-01,38988
2012-08-01,39105
2012-09-01,36535
2012-10-01,37241
2012-11-01,36533
2012-12-01,39456
2013-01-01,36463
2013-02-01,36031
2013-03-01,41436
2013-04-01,39267
2013-05-01,41161
2013-06-01,39879
2013-07-01,40069
2013-08-01,40982
2013-09-01,37337
2013-10-01,39244
2013-11-01,38926
2013-12-01,40611
2014-01-01,37554
2014-02-01,37313
2014-03-01,43184
2014-04-01,41431
2014-05-01,44362
2014-06-01,42064
2014-07-01,42919
2014-08-01,43987
2014-09-01,40333
2014-10-01,42980
2014-11-01,41230
2014-12-01,44545
2015-01-01,42099
2015-02-01,40635
2015-03-01,46657
2015-04-01,45455
2015-05-01,48477
2015-06-01,45867
2015-07-01,46849
2015-08-01,46697
2015-09-01,43500
2015-10-01,46417
2015-11-01,43697
2015-12-01,48011
2016-01-01,44115
2016-02-01,45139
2016-03-01,49100
2016-04-01,48893
2016-05-01,49634
2016-06-01,47822
2016-07-01,49313
2016-08-01,48397
2016-09-01,46129
2016-10-01,47710
2016-11-01,46022
2016-12-01,50012
2017-01-01,46310
2017-02-01,45767
2017-03-01,52336
2017-04-01,50738
2017-05-01,52376
2017-06-01,51553
2017-07-01,51746
2017-08-01,51505
2017-09-01,48963
2017-10-01,49932
2017-11-01,48090
2017-12-01,53549
2018-01-01,47797
2018-02-01,47540
2018-03-01,55328
2018-04-01,52271
2018-05-01,55993
2018-06-01,56191
2018-07-01,56477
2018-08-01,56692
2018-09-01,51571
2018-10-01,52993
2018-11-01,51060
2018-12-01,55178
2019-01-01,49940
2019-02-01,49623
2019-03-01,57793
2019-04-01,55206
2019-05-01,59164
2019-06-01,58310
2019-07-01,58679
2019-08-01,59318
2019-09-01,53944
2019-10-01,55762
2019-11-01,54039
2019-12-01,57086
2020-01-01,53411
