Date,Open,High,Low,Close,Adj Close,Volume
2010-02-01,1081.000000,1127.400024,1045.199951,1118.300049,1118.300049,18209
2010-03-01,1119.300049,1145.000000,1085.500000,1113.300049,1113.300049,222583
2010-04-01,1125.099976,1181.300049,1111.300049,1180.099976,1180.099976,10917
2010-05-01,1178.599976,1246.500000,1159.199951,1212.199951,1212.199951,361661
2010-06-01,1224.800049,1264.800049,1196.900024,1245.500000,1245.500000,16703
2010-07-01,1206.300049,1242.400024,1158.000000,1181.699951,1181.699951,267525
2010-08-01,1183.400024,1249.400024,1174.699951,1248.300049,1248.300049,9250
2010-09-01,1246.300049,1315.199951,1240.000000,1307.800049,1307.800049,33200
2010-10-01,1309.000000,1383.900024,1309.000000,1357.099976,1357.099976,3190
2010-11-01,1360.300049,1423.199951,1327.500000,1385.000000,1385.000000,245327
2010-12-01,1386.800049,1431.099976,1362.500000,1421.099976,1421.099976,16511
2011-01-01,1415.599976,1423.900024,1307.699951,1333.800049,1333.800049,299379
2011-02-01,1333.099976,1415.699951,1324.900024,1409.300049,1409.300049,14468
2011-03-01,1415.300049,1446.900024,1385.500000,1438.900024,1438.900024,194338
2011-04-01,1433.400024,1568.699951,1413.000000,1556.000000,1556.000000,15801
2011-05-01,1572.900024,1576.599976,1471.000000,1535.900024,1535.900024,271249
2011-06-01,1535.699951,1558.500000,1490.699951,1502.300049,1502.300049,15027
2011-07-01,1502.199951,1634.900024,1480.000000,1628.300049,1628.300049,309932
2011-08-01,1623.000000,1909.300049,1607.000000,1828.500000,1828.500000,25647
2011-09-01,1825.800049,1911.599976,1562.400024,1620.400024,1620.400024,31848
2011-10-01,1627.800049,1752.000000,1596.599976,1724.199951,1724.199951,2715
2011-11-01,1706.699951,1798.400024,1674.400024,1745.500000,1745.500000,257009
2011-12-01,1747.000000,1762.900024,1525.000000,1565.800049,1565.800049,11311
2012-01-01,1568.900024,1747.699951,1566.000000,1737.800049,1737.800049,237708
2012-02-01,1738.199951,1790.400024,1669.000000,1709.900024,1709.900024,9587
2012-03-01,1698.599976,1724.599976,1633.800049,1669.300049,1669.300049,254540
2012-04-01,1670.400024,1682.800049,1612.300049,1663.400024,1663.400024,9743
2012-05-01,1665.000000,1670.500000,1528.500000,1562.599976,1562.599976,345507
