"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"31.12.2019","387,75","388,25","389,75","386,25","85,10K","-0,13%"
"30.12.2019","388,25","389,25","392,00","386,75","123,53K","-0,45%"
"27.12.2019","390,00","388,00","391,00","388,00","85,21K","0,39%"
"26.12.2019","388,50","388,00","389,00","386,50","49,93K","0,06%"
"25.12.2019","388,25","388,25","388,25","388,25","-","0,19%"
"24.12.2019","387,50","388,50","389,00","387,00","50,42K","-0,32%"
"23.12.2019","388,75","388,00","390,25","387,25","82,26K","0,26%"
"20.12.2019","387,75","386,50","389,50","386,00","85,33K","0,32%"
"19.12.2019","386,50","387,00","389,00","385,00","99,13K","-0,13%"
"18.12.2019","387,00","389,25","390,00","385,75","125,53K","-0,77%"
"17.12.2019","390,00","387,50","390,50","386,25","118,24K","0,52%"
"16.12.2019","388,00","383,50","389,50","383,25","180,90K","5,94%"
"13.12.2019","366,25","373,75","374,50","366,25","0,09K","-0,20%"
"12.12.2019","367,00","358,25","368,75","358,25","0,66K","2,59%"
"11.12.2019","357,75","363,00","363,00","357,00","0,26K","-1,51%"
"10.12.2019","363,25","365,75","367,00","362,50","0,89K","-0,68%"
"09.12.2019","365,75","366,50","368,00","365,00","0,64K","-0,20%"
"06.12.2019","366,50","364,75","368,75","364,75","0,96K","0,27%"
"05.12.2019","365,50","368,50","369,75","365,25","3,03K","-0,88%"
"04.12.2019","368,75","371,75","373,50","367,75","2,99K","-0,87%"
"03.12.2019","372,00","373,75","376,25","371,50","4,94K","-0,40%"
"02.12.2019","373,50","371,75","375,50","370,00","6,28K","-1,90%"
"01.12.2019","380,75","380,75","380,75","380,75","-","2,56%"
"29.11.2019","371,25","365,75","372,25","365,00","15,51K","-0,60%"
"28.11.2019","373,50","373,50","373,50","373,50","-","2,96%"
"27.11.2019","362,75","367,25","368,75","362,25","163,97K","-1,29%"
"26.11.2019","367,50","369,75","370,50","367,00","207,68K","-0,81%"
"25.11.2019","370,50","368,75","372,75","368,25","199,30K","0,47%"
"22.11.2019","368,75","368,00","370,25","367,50","228,11K","0,07%"
"21.11.2019","368,50","366,75","369,75","366,25","158,70K","0,48%"
"20.11.2019","366,75","369,75","370,50","365,75","297,02K","-0,88%"
"19.11.2019","370,00","367,75","373,00","367,75","202,02K","0,61%"
"18.11.2019","367,75","371,00","371,75","367,50","206,27K","-0,94%"
"15.11.2019","371,25","375,50","376,50","370,75","140,18K","-1,20%"
"14.11.2019","375,75","375,25","377,50","374,50","144,89K","0,13%"
"13.11.2019","375,25","377,00","377,75","375,00","195,98K","-0,66%"
"12.11.2019","377,75","373,50","378,00","372,75","220,51K","1,21%"
"11.11.2019","373,25","376,00","377,00","372,50","211,22K","-1,06%"
"08.11.2019","377,25","375,25","383,75","372,50","343,77K","0,53%"
"07.11.2019","375,25","379,25","380,00","373,75","219,15K","-0,92%"
"06.11.2019","378,75","382,25","385,00","377,50","185,34K","-0,79%"
"05.11.2019","381,75","383,25","384,75","380,50","157,13K","-0,39%"
"04.11.2019","383,25","386,75","387,75","383,00","145,37K","-1,54%"
"01.11.2019","389,25","389,25","391,75","386,25","151,94K","-0,19%"
"31.10.2019","390,00","390,25","391,00","384,75","176,19K","-0,19%"
"30.10.2019","390,75","385,75","391,25","385,25","177,03K","1,17%"
"29.10.2019","386,25","383,50","387,50","382,00","153,73K","0,59%"
"28.10.2019","384,00","386,00","386,50","383,25","122,79K","-0,71%"
"25.10.2019","386,75","387,00","390,00","385,75","131,68K","0,00%"
"24.10.2019","386,75","388,50","390,75","385,25","130,66K","-0,26%"
"23.10.2019","387,75","387,75","389,50","384,00","117,56K","-0,06%"
"22.10.2019","388,00","387,00","392,50","385,00","136,69K","0,19%"
"21.10.2019","387,25","390,00","393,75","386,50","150,19K","-0,96%"
"18.10.2019","391,00","394,00","395,75","389,75","122,01K","-0,95%"
"17.10.2019","394,75","391,75","397,25","391,50","141,53K","0,77%"
"16.10.2019","391,75","392,00","392,75","387,50","139,68K","-0,38%"
"15.10.2019","393,25","397,00","398,50","392,50","143,68K","-1,13%"
"14.10.2019","397,75","401,25","402,50","393,25","170,71K","0,00%"
"11.10.2019","397,75","380,75","398,75","380,50","272,44K","4,60%"
"10.10.2019","380,25","392,75","395,00","378,25","297,05K","-3,55%"
"09.10.2019","394,25","395,50","397,25","393,00","140,85K","-0,38%"
"08.10.2019","395,75","387,50","396,50","386,00","200,46K","2,26%"
"07.10.2019","387,00","387,50","387,75","385,00","100,42K","0,58%"
"04.10.2019","384,75","388,00","389,00","383,75","116,34K","-1,03%"
"03.10.2019","388,75","387,00","390,75","385,50","125,49K","0,26%"
"02.10.2019","387,75","390,50","391,75","385,50","158,92K","-1,21%"
"01.10.2019","392,50","386,75","392,75","385,25","227,07K","1,16%"
"30.09.2019","388,00","372,00","388,25","371,50","337,25K","4,44%"
"27.09.2019","371,50","371,25","373,00","369,75","90,80K","-0,27%"
"26.09.2019","372,50","373,50","375,75","368,25","175,42K","-0,47%"
"25.09.2019","374,25","375,25","377,50","372,25","119,19K","-0,13%"
"24.09.2019","374,75","372,00","376,00","370,25","144,29K","0,40%"
"23.09.2019","373,25","371,25","374,50","371,00","100,44K","0,67%"
"20.09.2019","370,75","372,75","374,50","369,50","133,00K","-0,54%"
"19.09.2019","372,75","371,50","373,75","369,50","117,07K","0,40%"
"18.09.2019","371,25","367,75","372,00","365,75","126,83K","0,88%"
"17.09.2019","368,00","374,00","374,25","366,00","154,63K","-1,60%"
"16.09.2019","374,00","372,00","374,75","367,50","133,44K","5,20%"
"13.09.2019","355,50","358,50","358,50","358,50","0,12K","0,28%"
"12.09.2019","354,50","349,75","353,75","349,50","0,15K","1,79%"
"11.09.2019","348,25","349,75","349,75","344,75","0,33K","-0,07%"
"10.09.2019","348,50","344,00","349,50","344,00","0,31K","2,27%"
"09.09.2019","340,75","343,25","343,25","340,00","0,94K","-0,51%"
"06.09.2019","342,50","347,50","348,25","341,50","1,36K","-1,15%"
"05.09.2019","346,50","346,50","349,75","346,50","1,81K","0,14%"
"04.09.2019","346,00","350,50","351,00","344,50","3,85K","-1,07%"
"03.09.2019","349,75","358,75","359,00","349,00","5,34K","-2,30%"
"30.08.2019","358,00","359,75","364,50","356,75","11,24K","-0,49%"
"29.08.2019","359,75","363,00","369,00","357,50","122,79K","-0,83%"
"28.08.2019","362,75","357,25","365,50","355,25","172,93K","1,61%"
"27.08.2019","357,00","359,00","360,00","356,75","129,89K","-0,42%"
"26.08.2019","358,50","358,00","362,00","357,00","122,54K","-0,35%"
"23.08.2019","359,75","362,75","363,00","357,50","169,87K","-0,96%"
"22.08.2019","363,25","363,00","366,50","359,00","99,25K","0,21%"
"21.08.2019","362,50","360,00","364,00","357,00","125,86K","0,83%"
"20.08.2019","359,50","366,50","370,25","359,25","89,47K","-1,51%"
"19.08.2019","365,00","367,25","368,25","363,25","78,54K","-1,62%"
"16.08.2019","371,00","361,50","371,25","361,25","104,81K","2,84%"
"15.08.2019","360,75","360,25","363,75","358,25","108,78K","0,49%"
"14.08.2019","359,00","366,25","370,50","358,50","185,09K","-1,91%"
"13.08.2019","366,00","379,00","379,00","365,50","312,97K","-5,00%"
"12.08.2019","385,25","409,75","410,00","385,25","248,13K","-6,09%"
